Date                RelativeHumidity    Air Temp            Units               Meteorologist Name
5/30/1839                 0.73                8.98          F                   B. Pascal
11/30/2002                0.94              -24.29          C                   B. Pascal
5/25/1863                 0.54              -54.29          c                   B. Pascal
4/27/1971                 0.05              -25.60          c                   B. Pascal
6/10/1808                 0.01               20.37          c                   B. Pascal
6/5/1875                  1.02             -107.25          c                   B. Pascal
12/31/1847                0.98              -62.57          f                   B. Pascal
8/21/1959                 0.60               21.26          f                   B. Pascal
5/7/1893                  0.18             -105.08          c                   B. Pascal
4/12/1801                 0.86              -49.28          f                   B. Pascal
11/16/1989                0.00             -121.14          f                   B. Pascal
7/7/1864                  0.80              -81.01          c                   B. Pascal
10/12/1934                0.39               51.12          c                   B. Pascal
1/13/2007                 0.08                0.78          c                   B. Pascal
8/5/1918                 -0.83               10.39          f                   B. Pascal
12/7/1821                 0.12             -136.41          f                   B. Pascal
8/21/1960                 0.87               66.75          f                   B. Pascal
10/3/1839                 1.09               25.85          c                   B. Pascal
6/30/1949                 0.55               62.55          f                   B. Pascal
8/17/1897                 0.83               58.98          c                   B. Pascal
4/16/1813                -0.01                0.62          f                   B. Pascal
10/30/1923               -0.95               20.70          c                   B. Pascal
11/2/2000                 0.81              -78.02          f                   B. Pascal
2/30/1844                 0.85               23.73          c                   B. Pascal
6/3/1972                  0.66               -3.46          c                   B. Pascal
6/7/1982                  0.59              -88.25          f                   B. Pascal
3/28/2004                 0.40               -3.79          c                   B. Pascal
1/17/1878                 0.20               44.99          c                   B. Pascal
6/14/2000                 0.09             -115.21          f                   B. Pascal
7/13/1830                 0.61              -56.79          c                   B. Pascal
12/27/1967                0.07              -65.53          c                   B. Pascal
5/28/1966                 0.65              -85.13          f                   B. Pascal
4/17/1985                 0.19               32.39          f                   B. Pascal
9/21/2013                 0.44              108.21          f                   B. Pascal
4/15/1836                 0.45              -66.06          c                   B. Pascal
10/8/2007                 0.52              120.94          f                   B. Pascal
2/20/1895                 0.34              -70.23          c                   B. Pascal
1/1/1910                  0.78              103.15          f                   B. Pascal
6/6/1829                  0.87              -62.54          f                   B. Pascal
12/11/2012                1.07              105.96          f                   B. Pascal
4/29/1935                 0.90             -142.33          f                   B. Pascal
5/8/1980                  0.31               46.37          c                   B. Pascal
11/26/1925                0.65               38.96          c                   B. Pascal
2/15/1822                 0.69               47.14          c                   B. Pascal
8/19/1819                 0.93                0.16          f                   B. Pascal
2/2/1852                  1.18              101.19          f                   B. Pascal
8/20/1829                 0.84              102.87          f                   B. Pascal
2/20/1952                 1.11              -70.55          c                   B. Pascal
4/12/1849                 0.38              -46.58          c                   B. Pascal
12/5/2012                 0.83               44.77          f                   B. Pascal
11/9/1975                 0.32              -57.22          c                   B. Pascal
2/9/1993                  1.05               22.82          f                   B. Pascal
4/22/1874                 0.37              -56.37          f                   B. Pascal
9/16/1874                 0.29             -104.19          c                   B. Pascal
4/4/1883                  0.46             -106.29          f                   B. Pascal
12/24/1915                0.10              116.94          f                   B. Pascal
9/3/1833                  0.12               -1.64          F                   D. Bernoulli
12/26/1825                0.89              -30.48          c                   D. Bernoulli
3/31/1817                 0.30               -1.45          c                   D. Bernoulli
3/4/1870                  0.45             -139.22          f                   D. Bernoulli
9/28/1983                 0.23             -109.90          f                   D. Bernoulli
10/2/1977                 0.40              110.30          f                   D. Bernoulli
6/4/1823                  0.23             -144.05          f                   D. Bernoulli
3/29/1868                 0.58              -43.18          c                   D. Bernoulli
10/14/1981                0.24               15.33          f                   D. Bernoulli
3/18/1830                 1.07                1.62          f                   D. Bernoulli
7/26/1921                 1.05                8.52          f                   D. Bernoulli
2/10/1908                 0.87              -29.77          f                   D. Bernoulli
5/5/1837                  0.13               43.41          f                   D. Bernoulli
5/20/1889                 1.00               -7.01          f                   D. Bernoulli
12/16/1846                0.30              -60.42          f                   D. Bernoulli
3/30/1986                 0.74               88.82          f                   D. Bernoulli
8/28/1838                 1.18              137.36          f                   D. Bernoulli
3/1/1968                  0.24              -64.83          f                   D. Bernoulli
4/13/1979                 1.00              -75.31          c                   D. Bernoulli
3/29/2019                 0.05               21.82          c                   D. Bernoulli
1/28/1843                 0.40                8.70          f                   D. Bernoulli
10/26/1901                1.07              -48.36          c                   D. Bernoulli
5/29/1942                 0.67              -62.77          f                   D. Bernoulli
8/10/1842                 1.19              143.75          f                   D. Bernoulli
6/15/1969                 0.24              129.26          f                   D. Bernoulli
5/22/1837                 0.79               27.98          c                   D. Bernoulli
1/13/1947                 1.08               -1.05          f                   D. Bernoulli
1/29/1987                 0.38             -124.78          f                   D. Bernoulli
8/24/1823                 0.69              -95.14          f                   D. Bernoulli
4/31/1988                 0.52              -91.84          f                   D. Bernoulli
6/4/1823                  0.72              -85.84          f                   D. Bernoulli
8/22/2015                 1.10               59.92          c                   D. Bernoulli
5/9/1809                  0.03              -55.39          f                   D. Bernoulli
10/2/1829                 0.57              -23.07          c                   D. Bernoulli
11/8/1854                 0.94               51.25          f                   D. Bernoulli
3/7/1997                  1.07               -2.60          f                   D. Bernoulli
8/2/1807                  0.19               78.19          f                   D. Bernoulli
9/25/1853                 1.06               64.20          c                   D. Bernoulli
10/9/1826                 0.95              139.20          f                   D. Bernoulli
3/13/1853                 0.60                4.58          c                   D. Bernoulli
3/21/1948                 0.74               47.99          f                   D. Bernoulli
3/28/1914                 0.15              -18.72          f                   D. Bernoulli
1/11/1951                -0.68               24.15          f                   D. Bernoulli
5/8/1856                  0.00             -116.31          f                   D. Bernoulli
7/19/1955                 0.53             -100.45          c                   D. Bernoulli
12/13/1991                0.55               48.93          c                   D. Bernoulli
5/19/1919                 0.17              -11.87          f                   D. Bernoulli
7/16/1983                 0.86              -71.18          c                   D. Bernoulli
10/7/1824                 0.59               70.71          f                   D. Bernoulli
1/22/1936                 0.40               -7.56          f                   D. Bernoulli
7/19/1986                 0.36               64.64          f                   D. Bernoulli
3/9/1820                  0.54               57.84          c                   D. Bernoulli
8/24/1874                 0.90              119.06          F                   E. Halley
2/18/1887                 0.87                9.66          f                   E. Halley
1/30/1959                 1.18              -51.53          f                   E. Halley
3/19/1990                 1.01              -91.83          c                   E. Halley
8/26/1954                 0.57             -108.54          c                   E. Halley
4/5/1899                  0.76               -3.72          c                   E. Halley
12/28/1990                0.97               14.41          f                   E. Halley
7/20/1937                 0.13              136.42          f                   E. Halley
2/4/1804                  0.23              -73.69          c                   E. Halley
2/27/1919                 1.05              -29.13          c                   E. Halley
7/11/1957                 0.08                8.12          c                   E. Halley
